case_id,decline_reason,payment_method,amount,retry_attempt_number,previous_retries_on_this_case,days_since_last_failure,day_of_month,hour_of_day,is_salary_window,customer_historical_success_rate,customer_tenure_days,is_subscription,recovered
case_0147,insufficient_funds,upi,1933.98,2,1,5,11,14,False,0.8114,1236,False,True
case_0148,mandate_revoked,upi,695.33,1,0,10,31,15,True,0.893,1213,False,False
case_0149,insufficient_funds,card,1600.65,3,2,1,22,13,False,0.7359,773,True,False
case_0150,insufficient_funds,upi,723.06,4,3,6,2,17,True,0.7325,175,True,True
case_0151,insufficient_funds,card,271.93,2,1,5,4,13,False,0.7145,1179,True,True
case_0152,bank_timeout,netbanking,543.97,1,0,0,4,15,False,0.8866,424,True,True
case_0153,generic_decline,card,1150.84,2,1,0,21,10,False,0.7373,1131,True,False
case_0154,insufficient_funds,upi,1003.73,1,0,10,14,21,False,0.8397,10,True,True
case_0155,auth_required,card,3883.23,1,0,5,15,6,False,0.847,234,True,False
case_0156,auth_required,netbanking,2667.23,1,0,9,3,18,True,0.9004,290,True,True
case_0157,insufficient_funds,upi,360.7,2,1,2,6,17,False,0.7034,736,False,True
case_0158,insufficient_funds,upi,317.03,2,1,6,16,21,False,0.7395,563,True,True
case_0159,bank_timeout,netbanking,306.2,2,1,4,27,17,False,0.2061,448,False,True
case_0160,generic_decline,upi,926.75,4,3,7,12,8,False,0.1361,430,False,False
case_0161,generic_decline,card,1150.85,1,0,3,19,1,False,0.805,593,True,False
case_0162,expired_card,card,1374.37,1,0,6,9,1,False,0.1323,507,True,False
case_0163,bank_timeout,upi,384.84,2,1,1,17,12,False,0.83,1192,True,False
case_0164,generic_decline,card,1490.11,2,1,5,26,2,False,0.8398,581,True,False
case_0165,bank_timeout,upi,799.04,1,0,7,4,0,False,0.066,192,True,True
case_0166,expired_card,card,693.37,1,0,4,23,23,False,0.9223,160,True,False
case_0167,insufficient_funds,card,2689.56,1,0,2,3,15,True,0.865,613,True,True
case_0168,insufficient_funds,netbanking,100.0,1,0,8,1,18,True,0.8257,844,True,True
case_0169,expired_card,card,2544.53,1,0,6,26,10,False,0.7033,1245,True,True
case_0170,auth_required,netbanking,2484.57,1,0,9,7,16,False,0.4394,1014,True,True
case_0171,insufficient_funds,netbanking,2099.54,1,0,6,14,18,False,0.8872,124,False,True
case_0172,generic_decline,card,957.7,1,0,6,21,2,False,0.8637,417,False,True
case_0173,bank_timeout,netbanking,419.69,1,0,6,31,23,True,0.7159,1348,True,True
case_0174,generic_decline,upi,315.92,4,3,8,26,16,False,0.5813,242,True,True
case_0175,insufficient_funds,upi,680.79,1,0,7,12,16,False,0.8769,6,True,False
case_0176,insufficient_funds,upi,285.11,1,0,0,26,17,False,0.4334,1476,True,False
case_0177,insufficient_funds,card,1644.07,2,1,0,3,12,True,0.5546,936,True,True
case_0178,insufficient_funds,card,1105.27,2,1,9,25,15,False,0.8078,1421,False,True
case_0179,bank_timeout,netbanking,845.42,2,1,3,16,13,False,0.2171,846,True,True
case_0180,insufficient_funds,upi,591.49,1,0,6,19,2,False,0.8648,646,False,True
case_0181,insufficient_funds,upi,1120.82,1,0,9,5,3,False,0.9124,426,True,True
case_0182,insufficient_funds,card,7680.96,1,0,9,7,1,False,0.8447,1052,True,True
case_0183,insufficient_funds,netbanking,1809.15,2,1,1,4,14,False,0.942,763,True,False
case_0184,bank_timeout,card,362.16,1,0,1,29,6,True,0.9461,104,True,True
case_0185,insufficient_funds,upi,716.32,1,0,2,9,8,False,0.6209,1022,True,True
case_0186,insufficient_funds,upi,541.16,1,0,8,21,7,False,0.2988,983,True,True
case_0187,bank_timeout,upi,1257.21,1,0,4,26,1,False,0.4089,546,True,False
case_0188,generic_decline,netbanking,1832.21,2,1,6,30,11,True,0.7056,58,True,False
case_0189,insufficient_funds,netbanking,2101.69,4,3,8,6,9,False,0.7936,2,True,False
case_0190,insufficient_funds,upi,220.58,3,2,5,1,1,True,0.9368,748,False,True
case_0191,insufficient_funds,upi,768.33,1,0,6,31,20,True,0.7102,1257,True,True
case_0192,insufficient_funds,upi,1425.03,2,1,2,24,5,False,0.619,1163,True,False
case_0193,mandate_revoked,upi,129.34,1,0,1,12,7,False,0.2107,1309,True,True
case_0194,insufficient_funds,card,385.12,1,0,1,1,23,True,0.8923,776,True,True
case_0195,generic_decline,card,928.27,2,1,0,1,9,True,0.558,191,True,False
case_0196,generic_decline,upi,472.16,2,1,9,6,13,False,0.7807,1495,True,False
case_0197,insufficient_funds,upi,331.84,1,0,0,3,13,True,0.913,168,True,True
case_0198,insufficient_funds,netbanking,651.27,1,0,10,13,17,False,0.7813,551,True,True
case_0199,insufficient_funds,card,1252.14,3,2,3,2,17,True,0.8304,973,True,True
case_0200,insufficient_funds,netbanking,376.54,1,0,9,26,16,False,0.6094,1285,True,True
case_0201,generic_decline,card,2392.62,2,1,4,15,16,False,0.0233,231,True,True
case_0202,generic_decline,netbanking,1630.49,4,3,9,26,3,False,0.8176,995,True,False
case_0203,insufficient_funds,card,611.43,1,0,5,8,22,False,0.8215,621,True,False
case_0204,generic_decline,netbanking,392.53,1,0,4,15,23,False,0.6897,905,True,False
case_0205,generic_decline,netbanking,1432.86,1,0,4,17,22,False,0.8092,412,False,True
case_0206,expired_card,card,337.96,1,0,7,13,16,False,0.8801,1202,True,False
case_0207,insufficient_funds,card,1073.86,1,0,9,28,6,True,0.6338,1398,True,False
case_0208,bank_timeout,upi,1006.49,1,0,4,31,22,True,0.8483,1067,False,True
case_0209,bank_timeout,netbanking,1453.93,2,1,9,10,9,False,0.8567,568,True,True
case_0210,insufficient_funds,upi,434.42,3,2,0,13,19,False,0.7487,532,False,True
case_0211,bank_timeout,card,1252.05,2,1,10,21,17,False,0.866,1347,False,True
case_0212,insufficient_funds,upi,421.91,3,2,2,29,21,True,0.498,679,True,True
case_0213,insufficient_funds,upi,408.43,2,1,7,17,6,False,0.841,309,True,True
case_0214,bank_timeout,card,369.95,2,1,5,6,22,False,0.8935,10,True,True
case_0215,bank_timeout,upi,1265.91,1,0,6,14,20,False,0.6865,391,True,True
case_0216,insufficient_funds,netbanking,194.92,1,0,1,17,12,False,0.786,1491,True,True
case_0217,generic_decline,upi,2551.37,3,2,2,1,12,True,0.7188,347,True,False
case_0218,insufficient_funds,card,875.38,3,2,9,20,1,False,0.6146,854,True,True
case_0219,generic_decline,upi,855.47,1,0,1,17,21,False,0.9279,407,True,False
case_0220,mandate_revoked,upi,801.78,1,0,2,18,1,False,0.615,1176,True,False
case_0221,bank_timeout,netbanking,1566.34,1,0,4,15,8,False,0.7745,238,True,False
case_0222,auth_required,card,1354.59,1,0,5,31,14,True,0.8695,557,False,False
case_0223,insufficient_funds,netbanking,1140.99,2,1,2,14,3,False,0.2566,735,True,False
case_0224,generic_decline,netbanking,1360.71,2,1,7,29,3,True,0.7031,1389,True,False
case_0225,insufficient_funds,netbanking,1921.82,2,1,9,14,3,False,0.6273,1144,False,True
case_0226,expired_card,card,411.99,2,1,7,3,5,True,0.8313,1128,True,False
case_0227,insufficient_funds,card,167.29,1,0,1,24,15,False,0.8788,1268,True,False
case_0228,bank_timeout,upi,1584.82,1,0,0,28,7,True,0.7993,1467,True,True
case_0229,insufficient_funds,upi,305.57,2,1,5,4,22,False,0.5659,220,True,True
case_0230,auth_required,card,269.88,3,2,3,11,22,False,0.5524,923,True,False
case_0231,mandate_revoked,upi,813.35,1,0,9,30,15,True,0.9203,1230,True,False
case_0232,insufficient_funds,card,287.67,2,1,3,13,8,False,0.0806,613,False,False
case_0233,generic_decline,card,1018.22,2,1,10,30,11,True,0.9344,984,True,False
case_0234,bank_timeout,card,1643.41,2,1,6,17,0,False,0.9395,330,False,True
case_0235,insufficient_funds,card,1236.69,1,0,7,20,3,False,0.3067,487,True,False
case_0236,generic_decline,upi,2635.53,1,0,6,11,21,False,0.0877,908,False,False
case_0237,bank_timeout,netbanking,278.14,3,2,3,15,9,False,0.9141,773,True,True
case_0238,insufficient_funds,card,630.56,1,0,7,30,22,True,0.922,1261,False,True
case_0239,bank_timeout,upi,672.68,4,3,8,26,2,False,0.9228,437,True,True
case_0240,mandate_revoked,upi,311.01,2,1,8,1,20,True,0.6766,500,False,False
case_0241,expired_card,card,385.42,1,0,8,17,11,False,0.7613,343,False,False
case_0242,bank_timeout,upi,1876.81,2,1,3,14,21,False,0.4341,892,True,False
case_0243,insufficient_funds,upi,743.08,1,0,4,3,17,True,0.7644,887,True,True
case_0244,insufficient_funds,card,1255.8,1,0,9,23,1,False,0.8331,1243,True,False
case_0245,insufficient_funds,card,299.9,1,0,6,10,17,False,0.0552,1494,True,True
case_0246,auth_required,card,1075.82,1,0,9,13,19,False,0.873,1323,False,True
case_0247,bank_timeout,upi,2461.97,2,1,0,15,17,False,0.7651,1190,True,True
case_0248,bank_timeout,upi,2175.6,2,1,3,16,10,False,0.7664,747,False,False
case_0249,insufficient_funds,card,663.13,1,0,5,22,4,False,0.8943,1130,True,True
case_0250,insufficient_funds,card,256.77,3,2,3,24,8,False,0.087,830,True,True
case_0251,insufficient_funds,netbanking,252.01,1,0,6,29,7,True,0.8341,813,True,True
case_0252,mandate_revoked,upi,649.71,2,1,8,15,4,False,0.6785,83,True,False
case_0253,insufficient_funds,upi,1520.96,1,0,7,29,14,True,0.6408,540,True,True
case_0254,insufficient_funds,upi,5959.73,3,2,1,9,16,False,0.9034,998,True,True
case_0255,expired_card,card,1028.31,1,0,2,6,5,False,0.9009,1476,True,False
case_0256,bank_timeout,netbanking,2626.62,1,0,3,5,1,False,0.9335,115,True,False
case_0257,insufficient_funds,netbanking,270.68,2,1,4,7,2,False,0.6406,373,True,True
case_0258,generic_decline,netbanking,220.06,2,1,1,13,7,False,0.7018,198,True,False
case_0259,auth_required,card,903.22,2,1,9,27,17,False,0.897,89,True,True
case_0260,bank_timeout,netbanking,603.03,1,0,9,14,3,False,0.8878,15,True,False
case_0261,bank_timeout,netbanking,636.85,1,0,10,9,18,False,0.7369,814,True,True
case_0262,bank_timeout,upi,1961.61,2,1,4,19,9,False,0.6155,471,True,False
case_0263,insufficient_funds,upi,492.53,2,1,0,13,5,False,0.1147,455,True,False
case_0264,expired_card,card,2361.41,2,1,4,31,22,True,0.8472,414,False,False
case_0265,insufficient_funds,card,223.51,2,1,10,12,1,False,0.7077,1442,True,True
case_0266,auth_required,netbanking,818.69,1,0,4,20,7,False,0.2295,1031,True,False
case_0267,mandate_revoked,upi,1415.04,2,1,6,16,18,False,0.8408,1202,False,False
case_0268,insufficient_funds,card,303.16,1,0,3,14,10,False,0.1761,191,True,False
case_0269,bank_timeout,upi,701.4,2,1,2,22,23,False,0.1709,544,True,True
case_0270,bank_timeout,upi,1606.58,1,0,1,31,21,True,0.7833,988,True,True
case_0271,expired_card,card,821.78,3,2,8,13,8,False,0.632,1108,True,False
case_0272,generic_decline,card,1579.87,1,0,8,11,14,False,0.7462,1124,True,True
case_0273,insufficient_funds,upi,390.35,3,2,5,9,12,False,0.7071,1477,True,True
case_0274,insufficient_funds,upi,1382.16,4,3,2,26,15,False,0.7477,997,True,False
case_0275,insufficient_funds,card,4163.91,2,1,10,15,3,False,0.6961,705,True,True
case_0276,mandate_revoked,upi,1648.86,2,1,10,6,17,False,0.162,916,False,False
case_0277,bank_timeout,upi,2016.4,1,0,10,19,19,False,0.67,1240,True,True
case_0278,auth_required,card,3714.56,2,1,7,6,13,False,0.4566,1436,True,True
case_0279,insufficient_funds,netbanking,668.38,3,2,8,4,2,False,0.8062,1284,True,True
case_0280,insufficient_funds,upi,944.07,4,3,7,28,14,True,0.8662,1293,True,False
case_0281,bank_timeout,netbanking,2137.47,1,0,1,10,14,False,0.9982,280,True,False
case_0282,expired_card,card,513.51,2,1,0,26,13,False,0.7249,335,True,False
case_0283,insufficient_funds,upi,417.47,3,2,9,22,22,False,0.8808,141,True,True
case_0284,bank_timeout,upi,416.17,2,1,3,1,10,True,0.9585,861,True,False
case_0285,insufficient_funds,card,388.58,4,3,0,25,8,False,0.828,507,True,True
case_0286,generic_decline,card,4096.09,4,3,7,22,12,False,0.3567,986,True,False
case_0287,auth_required,card,2360.54,1,0,2,19,8,False,0.6089,761,True,True
case_0288,generic_decline,upi,2059.26,4,3,10,2,1,True,0.8811,649,False,False
case_0289,auth_required,card,1454.79,1,0,2,29,8,True,0.8018,1161,True,True
case_0290,insufficient_funds,card,3257.11,4,3,8,3,5,True,0.7503,1307,True,False
case_0291,bank_timeout,upi,504.57,1,0,8,7,12,False,0.728,1313,True,True
case_0292,insufficient_funds,netbanking,521.9,1,0,0,4,6,False,0.425,1077,True,True
case_0293,insufficient_funds,card,6776.04,2,1,1,26,14,False,0.4712,1451,True,False
case_0294,generic_decline,card,1060.57,1,0,3,4,16,False,0.8513,1168,True,True
case_0295,insufficient_funds,upi,520.25,2,1,10,29,13,True,0.8339,1094,False,True
case_0296,insufficient_funds,netbanking,469.6,1,0,5,25,13,False,0.9128,769,True,False
case_0297,mandate_revoked,upi,282.48,4,3,9,17,0,False,0.7053,194,True,False
case_0298,insufficient_funds,upi,2149.29,1,0,4,19,2,False,0.7968,355,True,False
case_0299,auth_required,card,768.46,3,2,6,25,2,False,0.6737,247,False,True
case_0300,bank_timeout,upi,739.8,3,2,6,10,1,False,0.8115,314,True,False
case_0301,insufficient_funds,upi,474.58,1,0,6,5,4,False,0.7529,817,True,False
case_0302,insufficient_funds,upi,880.99,2,1,10,7,18,False,0.7501,1180,True,False
case_0303,insufficient_funds,upi,760.84,1,0,5,27,19,False,0.4229,409,True,True
case_0304,insufficient_funds,card,803.66,1,0,9,28,4,True,0.7442,1102,True,True
case_0305,bank_timeout,netbanking,3588.44,2,1,6,29,18,True,0.7169,1266,True,True
case_0306,insufficient_funds,card,839.61,2,1,10,28,11,True,0.7815,1042,False,True
case_0307,auth_required,card,1356.35,2,1,0,8,1,False,0.1409,620,True,False
case_0308,auth_required,card,2385.45,3,2,0,31,17,True,0.5988,783,True,False
case_0309,generic_decline,upi,383.3,1,0,9,15,10,False,0.6866,283,True,False
case_0310,insufficient_funds,netbanking,590.14,4,3,2,30,20,True,0.671,378,True,False
case_0311,generic_decline,netbanking,405.64,1,0,10,9,23,False,0.9495,1264,True,False
case_0312,insufficient_funds,card,1445.74,1,0,7,17,4,False,0.8888,971,True,True
case_0313,generic_decline,upi,799.81,2,1,3,3,6,True,0.5754,876,True,True
case_0314,insufficient_funds,upi,2257.09,2,1,9,18,19,False,0.8515,87,False,True
case_0315,mandate_revoked,upi,280.25,4,3,3,15,9,False,0.7527,1256,False,False
case_0316,insufficient_funds,card,2430.19,1,0,8,6,3,False,0.9559,924,True,True
case_0317,expired_card,card,1758.25,2,1,2,24,22,False,0.7329,787,True,False
case_0318,insufficient_funds,upi,1376.88,1,0,2,19,10,False,0.2235,1496,True,True
case_0319,insufficient_funds,upi,1295.65,1,0,7,28,15,True,0.841,1351,True,True
case_0320,bank_timeout,upi,2985.83,2,1,9,18,20,False,0.9257,298,False,True
case_0321,insufficient_funds,netbanking,2188.25,1,0,10,20,9,False,0.793,1186,True,True
case_0322,insufficient_funds,netbanking,1192.1,3,2,6,3,17,True,0.7855,1075,True,True
